Empresa,Anio,Semana,Semana ,Flor_por_Abrir,Flor_Abierta,Flor_Cerrada,Fruto_Cuajado,Flor_Acumulada,Indice_cuajado,Temperatura_minima,Temperatura_maxima,UC,UCA
Arato I,2017,34,34,97,2,0,0,3,0,13.9,21.9,55.5,55.5
Arato I,2017,35,35,92,1,6,0,8,0,13.3,22.3,54.6,110.1
Arato I,2017,36,36,92,2,6,0,8,0,12.7,21.8,50.7,160.7
Arato I,2017,37,37,86,2,11,0,14,0,13.7,21.5,53.1,213.8
Arato I,2017,38,38,79,4,17,0,21,0,13.6,21.7,53.6,267.3
Arato I,2017,39,39,65,5,27,2,35,6,13.5,23,58.1,325.4
Arato I,2017,40,40,54,6,37,4,46,9,13.6,23.2,58.8,384.1
Arato I,2017,41,41,36,6,49,9,64,14,13.6,22.8,57.4,441.5
Arato I,2017,42,42,17,4,55,24,83,29,13.2,23.7,59,500.4
Arato I,2017,43,43,6,2,42,51,94,54,14.4,23.8,63.7,564.1
Arato I,2017,44,44,1,0,23,76,99,77,12.3,21.8,49.6,613.7
Arato I,2017,45,45,0,0,4,96,100,96,12.2,22.3,51,664.6
Arato I,2018,36,36,98,1,1,0,2,0,14.2,23.6,62.3,62.3
Arato I,2018,37,37,94,1,5,0,6,0,13.3,22.5,55.2,117.5
Arato I,2018,38,38,80,4,15,0,20,0,13.6,22.3,55.7,173.2
Arato I,2018,39,39,62,7,30,1,38,3,14,24.3,64.2,237.4
Arato I,2018,40,40,40,8,44,7,60,12,14.8,24,65.8,303.2
Arato I,2018,41,41,11,4,57,28,89,31,13.3,23.8,59.9,363.1
Arato I,2018,42,42,5,2,50,43,95,45,14.4,24.2,65.2,428.2
Arato I,2018,43,43,0,0,22,77,100,77,13.2,23.9,59.9,488.1
Arato I,2018,44,44,0,0,5,95,100,95,15.4,25,71.3,559.3
Arato I,2018,45,45,0,0,0,100,100,100,15.5,24.4,69.8,629.1
Arato I,2019,34,34,98,1,1,0,2,0,12.9,22.2,52.9,52.9
Arato I,2019,35,35,98,1,1,0,2,0,12.8,22.3,52.9,105.8
Arato I,2019,36,36,94,1,4,0,6,0,13.7,22.8,57.7,163.5
Arato I,2019,37,37,89,2,9,0,11,0,12.9,21.6,50.7,214.2
Arato I,2019,38,38,77,3,19,0,23,0,14.3,21.8,56.3,270.4
Arato I,2019,39,39,68,5,25,2,32,6,14,22.5,57.8,328.2
Arato I,2019,40,40,51,7,34,8,49,16,14.5,21.4,55.6,383.8
Arato I,2019,41,41,35,7,44,14,65,22,13.7,22.9,58.3,442.1
Arato I,2019,42,42,11,4,40,45,89,51,15,23.3,64,506.1
Arato I,2019,43,43,4,1,29,65,96,68,13.5,23.4,59.2,565.2
Arato I,2019,44,44,1,0,7,91,99,92,15.5,25,71.9,637.1
Arato I,2019,45,45,0,0,3,97,100,97,15.2,25,70.7,707.7
Arato I,2019,46,46,0,0,0,100,100,100,16,24.5,71.8,779.5
Arato I,2020,34,34,93,2,5,0,7,0,12.3,22.1,50.6,50.6
Arato I,2020,35,35,87,3,9,0,13,0,11.9,22.5,50.4,101
Arato I,2020,36,36,88,2,10,1,12,8,12.2,20,42.6,143.6
Arato I,2020,37,37,89,2,8,1,11,9,11.9,21.6,47.5,191.1
Arato I,2020,38,38,81,4,14,2,19,11,13.3,22.7,56.1,247.1
Arato I,2020,39,39,63,6,27,4,37,11,13.2,23,56.5,303.6
Arato I,2020,40,40,42,10,37,10,58,17,14.3,23.4,61.7,365.3
Arato I,2020,41,41,27,7,42,24,73,33,13.7,24.9,65.1,430.3
Arato I,2020,42,42,9,3,29,59,91,65,14,24.5,65.1,495.4
Arato I,2020,43,43,7,2,30,61,93,66,13.7,23.9,61.4,556.8
Arato I,2020,44,44,6,2,29,63,94,67,13.6,23.3,59.3,616
Arato I,2020,45,45,1,0,6,93,99,94,11.9,22.8,51.5,667.5
Arato I,2020,46,46,0,0,1,99,100,99,12.9,24,59.3,726.8
Arato I,2020,47,47,0,0,1,99,100,99,14.1,24.9,66.5,793.2
Arato I,2020,48,48,0,0,0,100,100,100,14.6,25.2,69.3,862.5
Arato I,2020,49,49,0,0,0,100,100,100,17.1,25.5,79,941.4
Arato I,2020,50,50,0,0,0,100,100,100,17.1,25.7,79.7,1021.1
Arato I,2021,33,33,99,0,1,0,1,0,13.4,22.3,54.8,54.8
Arato I,2021,34,34,96,1,3,0,4,0,13.5,21.7,53.2,108
Arato I,2021,35,35,93,2,5,0,7,0,13.9,22.8,58.2,166.2
Arato I,2021,36,36,83,3,12,1,17,6,13.9,22.6,57.5,223.7
Arato I,2021,37,37,61,6,32,1,39,3,13.4,21.9,53.5,277.2
Arato I,2021,38,38,37,7,45,10,63,16,13.2,23.6,59,336.1
Arato I,2021,39,39,18,6,39,37,82,45,13.1,24.3,60.9,397
Arato I,2021,40,40,10,4,24,62,90,69,14.6,24.3,66.1,463.1
Arato I,2021,41,41,5,1,14,79,95,83,13.8,23.1,59.2,522.2
Arato I,2021,42,42,2,0,13,85,98,87,13.9,23,59.3,581.5
Arato I,2021,43,43,0,0,5,95,100,95,13.6,24.6,63.4,644.9
Arato I,2021,44,44,0,0,0,100,100,100,14.2,23.8,62.9,707.8
Arato I,2021,45,45,0,0,0,100,100,100,13.8,23.7,61.5,769.3
Arato I,2022,31,31,99,0,1,0,1,0,12.6,22.3,52.4,52.4
Arato I,2022,32,32,96,1,3,0,4,0,12.4,22.4,51.8,104.2
Arato I,2022,33,33,91,2,7,0,9,0,12.3,21.9,49.4,153.6
Arato I,2022,34,34,88,2,11,0,12,0,12.5,21.9,50.6,204.2
Arato I,2022,35,35,84,3,13,0,16,0,11.6,21.3,45.4,249.6
Arato I,2022,36,36,76,3,19,2,24,8,12.6,22.6,53.4,303
Arato I,2022,37,37,67,4,26,3,33,9,13,22.6,54.5,357.4
Arato I,2022,38,38,53,5,34,9,47,19,12.5,21.2,48,405.4
Arato I,2022,39,39,43,5,37,15,57,26,12.1,22.3,50.4,455.8
Arato I,2022,40,40,38,5,32,25,62,40,12.1,22.8,52,507.7
Arato I,2022,41,41,34,5,33,29,66,44,12.5,23.2,55,562.7
